InstituteNo,year, ,round_no,quota,pool,institute_short,program_name,program_duration,degree_short,category,opening_rank,closing_rank
30,2016,NIT,6,OS,Gender-Neutral,NIT-Uttarakhand,Computer Science and Engineering,4 Years,B.Tech,GEN,9200,18568
31,2016,NIT,6,OS,Gender-Neutral,NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,GEN,274,1318
28,2016,NIT,6,OS,Gender-Neutral,NIT-Surat,Computer Engineering,4 Years,B.Tech,GEN,1825,5268
20,2016,NIT,6,OS,Gender-Neutral,NIT-Nagpur,Computer Science and Engineering,4 Years,B.Tech,GEN,2016,3661
3,2016,NIT,6,OS,Gender-Neutral,NIT-Andhra-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,4863,12379
12,2019,NIT,7,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,7199,9667
12,2019,NIT,7,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10262,13987
12,2019,NIT,7,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,9794,10836
12,2019,NIT,7,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,14310,16284
11,2019,NIT,7,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,2135,4566
11,2019,NIT,7,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,3110,6169
5,2019,NIT,7,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,4967,7290
5,2019,NIT,7,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,8691,10640
2,2019,NIT,7,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,2111,3562
2,2019,NIT,7,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,4507,6198
2,2019,NIT,7,OS,Gender-Neutral,NIT-Allahabad,Information Technology,4 Years,B.Tech,GEN,4043,5595
2,2019,NIT,7,OS,Female-Only,NIT-Allahabad,Information Technology,4 Years,B.Tech,GEN,7230,8573
1,2019,NIT,7,OS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,8325,16955
1,2019,NIT,7,OS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,20922,27833
1,2019,NIT,7,OS,Gender-Neutral,NIT-Agartala,Mathematics and Computing,5 Years,Int M.Tech,GEN,21002,27524
6,2019,NIT,7,OS,Gender-Neutral,NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,GEN,2148,4820
6,2019,NIT,7,OS,Female-Only,NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,GEN,5799,8265
7,2019,NIT,7,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,5901,7286
7,2019,NIT,7,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,5748,10164
8,2019,NIT,7,OS,Gender-Neutral,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,6370,9193
8,2019,NIT,7,OS,Female-Only,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,11176,13688
9,2019,NIT,7,OS,Gender-Neutral,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,7588,10587
9,2019,NIT,7,OS,Female-Only,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,15406,15879
10,2019,NIT,7,OS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,7514,10015
10,2019,NIT,7,OS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,11006,15048
10,2019,NIT,7,OS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,10543,12588
10,2019,NIT,7,OS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,14901,17577
14,2019,NIT,7,OS,Gender-Neutral,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,1452,2156
14,2019,NIT,7,OS,Female-Only,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,2787,3874
14,2019,NIT,7,OS,Gender-Neutral,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,2527,3731
14,2019,NIT,7,OS,Female-Only,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,4209,5533
17,2019,NIT,7,OS,Gender-Neutral,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,13604,16156
17,2019,NIT,7,OS,Female-Only,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,27937,27937
19,2019,NIT,7,OS,Gender-Neutral,NIT-Nagaland,Computer Science and Engineering,4 Years,B.Tech,GEN,18706,26535
19,2019,NIT,7,OS,Female-Only,NIT-Nagaland,Computer Science and Engineering,4 Years,B.Tech,GEN,30254,30254
21,2019,NIT,7,OS,Gender-Neutral,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,9803,13638
21,2019,NIT,7,OS,Female-Only,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,15599,19565
22,2019,NIT,7,OS,Gender-Neutral,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,8530,15164
22,2019,NIT,7,OS,Female-Only,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,16930,19176
23,2019,NIT,7,OS,Gender-Neutral,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,7829,11571
23,2019,NIT,7,OS,Female-Only,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,8084,14910
23,2019,NIT,7,OS,Gender-Neutral,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,11266,13979
23,2019,NIT,7,OS,Female-Only,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,15255,18626
25,2019,NIT,7,OS,Gender-Neutral,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,19742,23800
25,2019,NIT,7,OS,Female-Only,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,28594,33374
4,2019,NIT,7,OS,Gender-Neutral,NIT-Arunachal-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,18342,25460
4,2019,NIT,7,OS,Female-Only,NIT-Arunachal-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,34066,34096
13,2019,NIT,7,OS,Gender-Neutral,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,6714,9434
13,2019,NIT,7,OS,Female-Only,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,13761,15306
15,2019,NIT,7,OS,Gender-Neutral,NIT-Kurukshetra,Information Technology,4 Years,B.Tech,GEN,5646,7261
15,2019,NIT,7,OS,Female-Only,NIT-Kurukshetra,Information Technology,4 Years,B.Tech,GEN,10402,12437
15,2019,NIT,7,OS,Gender-Neutral,NIT-Kurukshetra,Computer Engineering,4 Years,B.Tech,GEN,4433,6313
15,2019,NIT,7,OS,Female-Only,NIT-Kurukshetra,Computer Engineering,4 Years,B.Tech,GEN,8398,9406
16,2019,NIT,7,OS,Gender-Neutral,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,18481,26160
16,2019,NIT,7,OS,Female-Only,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,32460,34134
18,2019,NIT,7,OS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,18417,26401
18,2019,NIT,7,OS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,34184,34184
24,2019,NIT,7,OS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,2149,4115
24,2019,NIT,7,OS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,4537,7503
26,2019,NIT,7,OS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,14751,18947
27,2019,NIT,7,OS,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,19810,23198
27,2019,NIT,7,OS,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,30618,34110
27,2019,NIT,7,OS,Gender-Neutral,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,24123,29442
27,2019,NIT,7,OS,Female-Only,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,34971,42246
29,2019,NIT,7,OS,Gender-Neutral,NIT-Tiruchirappalli,Computer Science and Engineering,4 Years,B.Tech,GEN,280,1373
29,2019,NIT,7,OS,Female-Only,NIT-Tiruchirappalli,Computer Science and Engineering,4 Years,B.Tech,GEN,1382,2371
30,2019,NIT,7,OS,Gender-Neutral,NIT-Uttarakhand,Computer Science and Engineering,4 Years,B.Tech,GEN,12590,13327
30,2019,NIT,7,OS,Female-Only,NIT-Uttarakhand,Computer Science and Engineering,4 Years,B.Tech,GEN,16489,16489
31,2019,NIT,7,OS,Gender-Neutral,NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,GEN,826,1980
31,2019,NIT,7,OS,Female-Only,NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,GEN,2428,3840
12,2020,NIT,6,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,6140,8053
12,2020,NIT,6,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,9800,14424
12,2020,NIT,6,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,8877,9787
12,2020,NIT,6,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,14453,16896
11,2020,NIT,6,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,2471,3789
11,2020,NIT,6,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,5129,6874
5,2020,NIT,6,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,4823,6509
5,2020,NIT,6,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,8838,11841
2,2020,NIT,6,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1388,3073
2,2020,NIT,6,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,4761,6273
2,2020,NIT,6,OS,Gender-Neutral,NIT-Allahabad,Information Technology,4 Years,B.Tech,GEN,3159,4119
2,2020,NIT,6,OS,Female-Only,NIT-Allahabad,Information Technology,4 Years,B.Tech,GEN,7752,8903
1,2020,NIT,6,OS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,10408,18351
1,2020,NIT,6,OS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,23865,29218
1,2020,NIT,6,OS,Gender-Neutral,NIT-Agartala,Mathematics & Computing,5 Years,BSc + MSc (IDD),GEN,21699,30596
6,2020,NIT,6,OS,Gender-Neutral,NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,GEN,1642,3682
6,2020,NIT,6,OS,Female-Only,NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,GEN,4688,6481
7,2020,NIT,6,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,5095,6983
7,2020,NIT,6,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,10025,12468
8,2020,NIT,6,OS,Gender-Neutral,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,5855,8215
8,2020,NIT,6,OS,Female-Only,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,10209,12678
9,2020,NIT,6,OS,Gender-Neutral,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,7420,10323
9,2020,NIT,6,OS,Female-Only,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,9842,14149
10,2020,NIT,6,OS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,7273,9617
10,2020,NIT,6,OS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,GEN,13008,16713
10,2020,NIT,6,OS,Gender-Neutral,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,9684,11312
10,2020,NIT,6,OS,Female-Only,NIT-Hamirpur,Computer Science and Engineering,5 Years,Btech + M.Tech (IDD),GEN,19533,19533
10,2020,NIT,6,OS,Gender-Neutral,NIT-Hamirpur,Mathematics and Computing,4 Years,B.Tech,GEN,12164,14304
10,2020,NIT,6,OS,Female-Only,NIT-Hamirpur,Mathematics and Computing,4 Years,B.Tech,GEN,19153,21718
14,2020,NIT,6,OS,Gender-Neutral,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,588,1324
14,2020,NIT,6,OS,Female-Only,NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,GEN,2533,3214
14,2020,NIT,6,OS,Gender-Neutral,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,1814,2838
14,2020,NIT,6,OS,Female-Only,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,4489,4613
17,2020,NIT,6,OS,Gender-Neutral,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,13595,17848
17,2020,NIT,6,OS,Female-Only,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,29566,29566
19,2020,NIT,6,OS,Gender-Neutral,NIT-Nagaland,Computer Science and Engineering,4 Years,B.Tech,GEN,22172,28779
19,2020,NIT,6,OS,Female-Only,NIT-Nagaland,Computer Science and Engineering,4 Years,B.Tech,GEN,39228,39228
21,2020,NIT,6,OS,Gender-Neutral,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,8888,14010
21,2020,NIT,6,OS,Female-Only,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,16817,22922
22,2020,NIT,6,OS,Gender-Neutral,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,10836,15467
22,2020,NIT,6,OS,Female-Only,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,14542,16811
23,2020,NIT,6,OS,Gender-Neutral,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,7965,10405
23,2020,NIT,6,OS,Female-Only,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,11166,15431
23,2020,NIT,6,OS,Gender-Neutral,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,9924,13154
23,2020,NIT,6,OS,Female-Only,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,16405,19713
25,2020,NIT,6,OS,Gender-Neutral,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,18868,26007
25,2020,NIT,6,OS,Female-Only,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,30490,33219
4,2020,NIT,6,OS,Gender-Neutral,NIT-Arunachal-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,17210,27307
4,2020,NIT,6,OS,Female-Only,NIT-Arunachal-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,30845,35057
13,2020,NIT,6,OS,Gender-Neutral,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,7843,8968
13,2020,NIT,6,OS,Female-Only,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,13293,16531
15,2020,NIT,6,OS,Gender-Neutral,NIT-Kurukshetra,Computer Engineering,4 Years,B.Tech,GEN,2525,5457
15,2020,NIT,6,OS,Female-Only,NIT-Kurukshetra,Computer Engineering,4 Years,B.Tech,GEN,7100,8782
15,2020,NIT,6,OS,Gender-Neutral,NIT-Kurukshetra,Information Technology,4 Years,B.Tech,GEN,5589,6679
15,2020,NIT,6,OS,Female-Only,NIT-Kurukshetra,Information Technology,4 Years,B.Tech,GEN,11225,12465
16,2020,NIT,6,OS,Gender-Neutral,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,22196,28003
16,2020,NIT,6,OS,Female-Only,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,34878,35609
18,2020,NIT,6,OS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,26329,29040
18,2020,NIT,6,OS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,34611,34611
24,2020,NIT,6,OS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,871,3296
24,2020,NIT,6,OS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,4032,5844
26,2020,NIT,6,OS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,5496,11127
26,2020,NIT,6,OS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,12438,18229
27,2020,NIT,6,OS,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,16569,23555
27,2020,NIT,6,OS,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,25226,34779
27,2020,NIT,6,OS,Gender-Neutral,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,24407,29485
27,2020,NIT,6,OS,Female-Only,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,35392,40762
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553
12,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793
12,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793
11,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594
11,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106
11,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594
11,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106
11,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594
11,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106
11,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594
11,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106
11,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594
11,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106
11,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594
11,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,8231,12023
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,14496,14496
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,8231,12023
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,14496,14496
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,8231,12023
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,14496,14496
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,8231,12023
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,14496,14496
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,8231,12023
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,14496,14496
5,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,8231,12023
5,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Mathematics and Data Science,5 Years,Btech + M.Tech (IDD),GEN,14496,14496
2,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362
2,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863
2,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362
2,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863
2,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362
2,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863
2,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362
2,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863
2,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362
2,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863
2,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362
2,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863
1,2021,NIT,1,OS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,8727,16289
1,2021,NIT,1,OS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,24350,27991
1,2021,NIT,1,OS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,8727,16289
1,2021,NIT,1,OS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,24350,27991
1,2021,NIT,1,OS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,8727,16289
